"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Austria","AUT","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","0.108255396189662","0.139191965148539","0.164965406721922","0.17889421926161","0.230940084343865","0.218652550961987","0.246047765978642","0.231747318015687","0.249201803745039","0.269388815251101","0.299403666464844","0.316449455164338","0.310805929508266","0.298598252799209","0.291882442752315","0.291385221771689","0.307211186101898","0.323682543917971","0.338031634617066","0.354132205676631","0.382864171061782","0.44616822032543","0.419568713166649","0.405502679018952","0.416765049819626","0.42167724733428","0.417157394490064","0.432207585119531","0.652621583534559","0.836231957079267","0.919819868709328","0.902903963583412","0.932792580393361","0.957185019430853","0.842547223454702","0.736897611610959","0.753856467557343","0.753857899690641","0.743139121501931","0.77679902478277","0.765334983323418","0.757843344487413","0.744483114655028","0.761476324289715","0.738765772881369","0.754481955623161","0.733469470029936","0.712641112254668","0.667854543363003","0.676336187913285","0.69677434560967","0.664274745885735","0.636214157041973","0.631386866730441","0.651189560177177","0.660818428758694",
"Azerbaijan","AZE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.124103805417565","0.129009618568859","0.131133894149081","0.141553717374876","1.18945739810866","1.08356085483563","1.82431677750395","2.61890157505979","2.14332251762401","2.34525903598978","4.70528614042723","3.7661645945845","3.83587676218684","3.10805893221251","2.8326399787509","2.66549763240316","2.87035592504128","2.85617334250334","2.33704815215702","2.45405271812669","2.3927167997352","1.69843941411199","2.77334116720313","2.60183768470009","2.64699324657026","3.2864567961961","2.78454087413308","5.012251973723","2.64096975190127","1.81613683390213","1.965008211071",
"Burundi","BDI","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00456527293965937","0.00640599084488348","0.000900832124589662","0.0140059745128766","0.226153095027882","1.59010007015964","1.69766901575621","2.03340705682397","1.99508472753777","1.98396904455022","2.07917136601729","1.81892792988976","1.32228982251711","1.19393241146772","1.65744632556755","3.19158012142311","4.55797350513428","4.90478816370204","4.0648096101064","5.72250537521322","7.79852802134993","8.11526725410368",
"Belgium","BEL","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","1.00839781577857","0.926563757740722","0.911182981101882","0.944694653684342","0.89568738729108","0.898116558064477","0.906020723819235","0.909198233149806","0.97353481560073","0.935864905309426","0.947373760174762","0.915203598681065","0.853573660694923","0.881165995137899","1.6664234307954","1.74504806529481","1.88710007274987","1.90628957474287","2.03841256676887","1.88369939227352","1.71398735629275","1.7718518088758","1.71301110813877","1.6262051495013","1.72970095198795","1.69118708877619","1.66141614657148","1.75500262016461","1.81655249139261","1.77742921075937","1.78481779747509","1.7804555291479","1.90941240927213","2.02561362151017","2.28666376827266","2.28294482274635","2.22470095850911","2.24139855673035","2.23147335406485","2.2604623886803","2.26982563344468","2.27430051445446","2.28295012234307","2.29407968780421","2.31583275735738","2.47543593372868","2.38689121016773","2.37322952882526","2.24989889223004","2.30721068013377","2.25329063716293",
"Benin","BEN","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","1.33100620909527","2.59888856688582","4.01474058494485","5.22379981240179","6.05441909220782","6.14733419220805","5.47960447300377","4.80250200992902","2.91454634897243","4.00287514622762","4.00195938560034","3.85270300105948","3.8037604695225","3.85465598543897","4.38925672842469","6.07979990252364","5.15567401349837","5.93879797323855","8.04020486581232","4.78747861948642","5.59935522422243","4.55987550271083","3.59651815957365","3.09070318029137","3.63238733139348","2.0402193663685","2.43967221418979","2.26566058286068","1.81453504668844","1.03567964209285","1.01961637199261","2.23731832676257","2.78178404322713","2.94763505011777","2.12371114921527","1.29851188068562","1.46370288914587","1.61021790601816","1.86479559336228","1.98756679939106","2.29333836287905","1.88309227024137","1.87568716496146","1.54134891059863","1.39347012623469","1.50776733495431","1.30443860209878","1.30551361346959","1.43702897358244","1.72082497476655","","",
"Burkina Faso","BFA","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","4.78481001684372","5.06978776558428","5.22484950078398","5.31701732782875","5.29110217763214","6.2722538879004","7.79952709669286","8.63595682459379","6.28699690213853","7.07464147981808","6.18117718868171","8.11094045380571","9.41045354451588","7.31190478558733","7.14928358340948","5.93592313052196","4.50368608441348","3.60338657190567","3.83752651162161","3.66373108647953","4.23929423527094","3.28546820793746","2.93864989824209","3.01678957548301","2.5552542223744","2.05052007887606","2.26842017379634","1.56456795349251","1.62143728930486","1.13372747057977","0.814744414938197","0.921925863968498","1.03852026670662","1.10725469495902","1.05531210898895","1.01975417425797","1.19156004110065","1.82998842995804","1.67168609996425","2.29442595791149","2.84234084326367","3.25372238641991","3.09641277300783","2.95484904374504","2.86751537651363","2.91434713959884","2.95970546183422","2.89859371271546","2.81334408479241","2.90654737996497","2.57274984525714","",
"Bangladesh","BGD","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","0.185440982243288","0.817260573667425","0.869126601591419","1.09947588420206","1.86716193243749","1.88176746993774","2.84184798595121","3.64817267991137","2.64653898029897","2.25541714853454","2.64665008029442","3.07765209527122","2.87302747133692","2.63354545837677","2.46489398309466","2.48523337346491","2.87540936210898","3.03732522639564","3.40813403881952","3.16729631986545","2.89557515603607","3.1641028158335","3.2125653790456","3.52403766089633","3.68659677566545","3.89794627098135","5.22266923917607","5.30538820275249","5.50437314918371","6.21006213483214","7.55966261801311","8.24291009689063","9.75655233462347","10.2665399023146","9.41241447446753","9.3859804789798","10.5915144036117","9.24470026765418","8.66899486049041","7.83797175617291","5.11803588431436","4.59667741438375","4.84382269321267","5.22841813674275","5.81626795895569","5.33437804101103","4.6737649876073","5.04555725354251","6.11494686698428","7.42441824923219",
"Bulgaria","BGR","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.337519416574411","0.447126559229233","0.337123696360512","0.311839438408094","0.439623341673452","5.82480533567475","7.17483571376319","8.12674875053948","6.58574256973166","5.39974079857172","4.99220879886857","3.81143133696843","3.521527787119","3.05958657994117","2.62944710893828","2.57122204895735","2.66829586281079","2.98619995728088","3.00943434245636","3.00160460643225","3.02072128581446","3.51461283642772","3.21053029116829","3.1172259348071","2.81662155492469","2.38249062197482","2.31138201391093","2.23710399685377","2.33169813750511","2.10468587201241",
"Bahrain","BHR","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49025118689208","0.440646340450278","0.416556329514708","0.410399245643789","0.416407710575514","",
